PROJECT,SITE_NUMBE,SITE_NAME,DNA#,N or S of Hwy 3,EAST,NORTH,ORIGIN,Drainage,YEAR
PWC 2002,PWC21,Pork Cr,,,533522,5551653,PWC 2002,x,2002
PWC 2002,PWC22,Carney Eagle N,,,531971,5556043,PWC 2002,x,2002
PWC 2002,PWC23,Carney Bonney,,,523802,5554190,PWC 2002,x,2002
PWC 2002,PWC24,Pinnacle E,,,531904,5535884,PWC 2002,x,2002
PWC 2002,PWC25,Pinnacle Main,,,527285,5533658,PWC 2002,x,2002
PWC 2002,PWC26,Campbell,,,523087,5532335,PWC 2002,x,2002
Purcell 2001,PGB1,Hellroaring Ck,,,557527,5475354,PGBP 2001,x,2001
Purcell 2001,PGB2,Hell Roaring/Jack Cr,,,554224,5484634,PGBP 2001,x,2001
Purcell 2001,PGB3,Angus Cr,,,560664,5481823,PGBP 2001,x,2001
Purcell 2001,PGB4,Meachum Mid,,,538974,5488780,PGBP 2001,x,2001
Purcell 2001,PGB5,Meachum Upper Slide,,,536236,5483123,PGBP 2001,x,2001
Purcell 2001,PGB6,Meachum - below Grassy top,,,536411,5485173,PGBP 2001,x,2001
Purcell 2001,PGB7,Meachum km 19,,,543625,5489753,PGBP 2001,x,2001
Purcell 2001,PGB8,Perry / Shorty Cr.,,,561716,5477106,PGBP 2001,x,2001
Purcell 2001,PGB9,Richmond Lake upper,,,558742,5473058,PGBP 2001,x,2001
Purcell 2001,PGB10,Cooper Lake,,,560505,5463620,PGBP 2001,x,2001
Purcell 2001,PGB11,Moyie R upper,,,564124,5462520,PGBP 2001,x,2001
Purcell 2001,PGB12,Kainuco Upper,,,540713,5476437,PGBP 2001,x,2001
Purcell 2001,PGB13,Kianuco Lower,,,541240,5468064,PGBP 2001,x,2001
Purcell 2001,PGB14,Kamma Cr  km 3,,,551859,5469182,PGBP 2001,x,2001
Purcell 2001,PGB15,Malladine Pass,,,548664,5485850,PGBP 2001,x,2001
Purcell 2001,PGB16,Fiddler Cr,,,549589,5487829,PGBP 2001,x,2001
Purcell 2001,PGB17,VOR ridge,,,555407,5486609,PGBP 2001,x,2001
Purcell 2001,PGB18,Goatfel Baldy,,,559363,5447183,PGBP 2001,x,2001
Purcell 2001,PGB19,Hazel Cr Pass,,,562370,5446670,PGBP 2001,x,2001
Purcell 2001,PGB20,Goatfel Huckleberry,,,562042,5445753,PGBP 2001,x,2001
Purcell 2001,PGB21,Kidd Cr sedge,,,554326,5443846,PGBP 2001,x,2001
Purcell 2001,PGB22,Canuck Ck. Hill,,,556314,5439161,PGBP 2001,x,2001
Purcell 2001,PGB23,Carrol Cr. meadow,,,559608,5437930,PGBP 2001,x,2001
Purcell 2001,PGB24,Carrol Cr uppe,,,554050,5437147,PGBP 2001,x,2001
Purcell 2001,PGB25,Hawkins Cr,,,569040,5434917,PGBP 2001,x,2001
Purcell 2001,PGB26,Canuck Riparian,,,569432,5429902,PGBP 2001,x,2001
Purcell 2001,PGB27,Hawkins/ Cold,,,575739,5433337,PGBP 2001,x,2001
Purcell 2001,PGB28,Peavine Cr,,,585715,5471420,PGBP 2001,x,2001
Purcell 2001,PGB29,Moyie/Sunrise,,,583549,5456189,PGBP 2001,x,2001
Purcell 2001,PGB30,Moyie Mt comm.,,,590069,5456431,PGBP 2001,x,2001
Purcell 2001,PGB31,Yahk R. km 38,,,,,PGBP 2001,x,2001
Purcell 2001,PGB32,Yahk R. marsh,,,594927,5432218,PGBP 2001,x,2001
Purcell 2001,PGB33,Packrat Slough,,,597591,5429396,PGBP 2001,x,2001
Purcell 2001,PGB34,West Yahk R,,,590050,5429296,PGBP 2001,x,2001
Purcell 2001,PGB35,Freeman Cr,,,586615,5429417,PGBP 2001,x,2001
Purcell 2001,PGB36,Irishman,,,571297,5449491,PGBP 2001,x,2001
Purcell 2001,PGB37,Moyie R / Sund,,,582011,5454122,PGBP 2001,x,2001
Purcell 2001,PGB38,Moyie  Stone C,,,578917,5452326,PGBP 2001,x,2001
Purcell 2001,PGB39,Moyie/ Cottonw,,,577073,5451617,PGBP 2001,x,2001
Purcell 2001,PGB40,Malpas Cr,,,591030,5442078,PGBP 2001,x,2001
Purcell 2001,PGB41,Sunrise km 44,,,592311,5437337,PGBP 2001,x,2001
Purcell 2001,PGB42,Kamma Lake,,,555142,5466086,PGBP 2001,x,2001
Purcell 2001,PGB43,Lamb Cr. upper,,,555173,5466086,PGBP 2001,x,2001
Purcell 2001,PGB44,Lamb riparian,,,572045,5457290,PGBP 2001,x,2001
Purcell 2001,PGB40a,Grey Cr Pass,,,523000,5492500,PGBP 2001,x,2001
Purcell 2001,PGB41a,Baker Cr.,,,530157,5496102,PGBP 2001,x,2001
Purcell 2001,PGB42a,Lower Redding,,,532130,5496415,PGBP 2001,x,2001
Purcell 2001,PGB43a,Akokoli Cr.,,,525636,5477712,PGBP 2001,x,2001
N Purcell 1999,1,Tea Cr.,,,517500,5594500,Pur99,x,1999
N Purcell 1999,2,Rory Cr.,,,514498,5611801,Pur99,x,1999
SP 1999,3,Akokoli Cr.,,,525788,5477531,Pur99,x,1999
SP 1999,4,Sanca Cr.,,,531146,5471965,Pur99,x,1999
SP 1999,SP1,U Crawford Cr,,,522600,5514900,SP98,x,1998
SP 1998,SP2,M. Crawford Cr,,,522600,5513700,SP98,x,1998
SP 1998,SP3,Canyon Cr.,,,527800,5515900,SP98,x,1998
SP 1998,SP4,Hooker Cr.,,,523700,5503900,SP98,x,1998
SP 1998,SP5,Gray Cr. short,,,522800,5495500,SP98,x,1998
SP 1998,SP6,U White Cr,,,552000,5521000,SP98,x,1998
SP 1998,SP7,M. White Cr.,,,552400,5517200,SP98,x,1998
