BATCH_NO,CID_NO,MASTER_ID,ERROR_FLAG,SPECIES_CODE,KILL_CODE,LIMITED_ENTRY_FLAG,KILL_DATE,SEX,MU_CODE,SUB_UNIT_CODE,REGION_CODE,SUB_REGION_CODE,ZONE_NO,GRID_EAST,GRID_NORTH,KILL_LOCATION,HUNTER_LICENCE_TYPE,SKULL_LENGTH,SKULL_WIDTH,SKULL_TYPE,HORN_ANNULI_CODE,HORN_ANNULI_AGE,TOOTH_CODE,TOOTH_AGE,WEARSTAIN_CODE,WEARSTAIN_AGE,OTHER_CODE,OTHER_AGE,EXTRACT_FLAG,CHECK_DATE,PARK_KILL_FLAG,CHECK_LOCATION,GUIDE_FORM_NO,PARK_NAME
197605,800415,31097,W,BEAG,1,2,19760513,M,629,0,6,-,0,0,0,O'CONNOR-TATSHENSHIN,RH,,,0,,,2,14,,,,,1,19000000,,0,,
197605,800416,31098,W,BEAG,1,2,19760513,F,745,0,7,B,0,0,0,BEATTON R,RH,,,0,,,,,,,,,,19000000,,0,,
197605,800383,31065,,BEAG,1,2,19760513,M,508,0,5,-,0,0,0,KWATNA R,NRH,381,191,3,,,2,8,,,,,1,19000000,,0,,
197605,800385,31067,,BEAG,1,2,19760514,F,603,0,6,-,0,0,0,KITLOPE R,NRH,318,165,3,,,2,5,,,,,1,19000000,,0,,
197804,4615,33560,W,BEAG,1,2,19760515,F,723,0,7,A,0,0,0,REYNOLDS CR,RH,315,191,0,,,,,,,,,,19000000,,,,
197605,800432,31114,W,BEAG,1,2,19760515,F,716,0,7,A,0,0,0,AVERIL MT,RH,356,197,3,,,,,,,,,,19000000,,0,,
197605,800437,31119,W,BEAG,1,2,19760515,F,417,0,4,A,0,0,0,KANE CR NEW DENVER,RH,311,181,3,,,2,16,,,,,1,19000000,,0,,
197605,800454,31136,,BEAG,1,2,19760516,M,422,0,4,B,0,0,0,BULL R,NRH,305,178,3,,,2,17,,,,,1,19000000,,0,,
197605,800395,31077,,BEAG,1,2,19760516,M,736,0,7,B,0,0,0,GRAHAM R,NRH,400,216,3,,,2,12,,,,,1,19000000,,0,,
197605,800381,31063,W,BEAG,1,2,19760516,M,425,0,4,B,0,0,0,PALLISER R,RH,346,184,3,,,2,20,,,,,1,19000000,,0,,
197605,800370,31052,W,BEAG,1,2,19760516,F,406,0,4,A,0,0,0,LAFRANCE CR,RH,283,156,3,,,2,6,,,,,1,19000000,,0,,
197605,800412,31094,W,BEAG,1,2,19760517,M,615,0,6,-,0,0,0,MAROON CR,RH,314,159,3,,,2,4,,,,,1,19000000,,0,,
197605,800384,31066,,BEAG,1,2,19760518,M,603,0,6,-,0,0,0,KITLOPE R,NRH,356,216,3,,,2,10,,,,,1,19000000,,0,,
197605,800419,31101,,BEAG,1,2,19760519,M,750,0,7,B,0,0,0,GATHTO CR,NRH,349,197,3,,,2,5,,,,,1,19000000,,0,,
197605,800389,31071,,BEAG,1,2,19760519,M,505,0,5,-,0,0,0,MOSLEY CR-TATLA L,NRH,387,241,3,,,2,14,,,,,1,19000000,,0,,
197605,800418,31100,,BEAG,1,2,19760520,M,750,0,7,B,0,0,0,TUCHODI R,NRH,343,181,3,,,2,5,,,,,1,19000000,,0,,
197605,800374,31056,W,BEAG,1,2,19760520,M,402,0,4,B,0,0,0,BEAN CR,NRH,330,178,3,,,,,,,,,,19000000,,0,,
197605,800430,31112,W,BEAG,1,2,19760521,M,723,0,7,A,0,0,0,ARTIC L,RH,,,0,,,,,,,,,,19000000,,0,,
197605,800441,31123,W,BEAG,1,2,19760521,M,428,0,4,A,0,0,0,MARSH ADAMS CR,RH,356,191,3,,,,,,,,,,19000000,,0,,
197605,800372,31054,,BEAG,1,2,19760521,M,422,0,4,B,0,0,0,BERRY CR,NRH,318,191,3,,,2,6,,,,,1,19000000,,0,,
197605,800390,31072,,BEAG,1,2,19760522,M,316,0,3,-,10,546,5583,DUFFY L,RH,381,210,3,,,2,9,,,,,1,,,0,,
197605,800375,31057,W,BEAG,1,2,19760522,F,422,0,4,B,0,0,0,SULPHER CR,RH,349,165,3,,,,,,,,,,19000000,,0,,
197605,800386,31068,,BEAG,1,2,19760522,F,722,0,7,B,0,0,0,SUKUNKA R,NRH,324,191,3,,,2,5,,,,,1,19000000,,0,,
197605,800438,31120,W,BEAG,1,2,19760523,M,430,0,4,A,0,0,0,POPLAR CR LARDEAU,RH,327,171,3,,,2,7,,,,,1,19000000,,0,,
197605,800435,31117,W,BEAG,1,2,19760524,M,723,0,7,A,0,0,0,MISINCHINKA R,RH,394,229,3,,,2,11,,,,,1,19000000,,0,,
197605,800409,31091,,BEAG,1,2,19760525,M,623,0,6,-,0,0,0,BLUE R MOUTH-DEASE R,NRH,318,140,3,,,2,5,,,,,1,19000000,,0,,
197605,800371,31053,,BEAG,1,2,19760525,M,422,0,4,B,0,0,0,BERRY CR,NRH,292,191,3,,,2,6,,,,,1,19000000,,0,,
197605,800388,31070,W,BEAG,1,2,19760526,F,515,0,5,-,0,0,0,ROARING R,NRH,337,203,3,,,2,9,,,,,,19000000,,0,,
197605,800373,31055,W,BEAG,1,2,19760526,M,402,0,4,B,0,0,0,BEAN CR,NRH,381,229,3,,,,,,,,,,19000000,,0,,
197605,800400,31082,W,BEAG,1,2,19760527,F,417,0,4,A,0,0,0,HICKS CR NEW DENVER,RH,,,0,,,2,6,,,,,1,19000000,,0,,
197605,800401,31083,W,BEAG,1,2,19760527,M,608,0,6,-,0,0,0,BLUNT CR,RH,381,267,3,,,2,26,,,,,1,19000000,,0,,
197605,800447,31129,W,BEAG,1,2,19760528,M,438,0,4,A,0,0,0,GOLDSTREAM R,RH,324,175,3,,,2,6,,,,,1,19000000,,0,,
197605,800410,31092,,BEAG,1,2,19760528,M,623,0,6,-,0,0,0,5 M E OF GRAVE L,NRH,375,235,3,,,2,21,,,,,1,19000000,,0,,
197605,800420,31102,W,BEAG,1,2,19760528,M,747,0,7,B,0,0,0,ETTHITHUN L,RH,394,229,3,,,2,12,,,,,1,19000000,,0,,
197605,800423,31105,W,BEAG,1,2,19760528,F,704,0,7,A,0,0,0,CASTLE CR M 14,RH,311,156,3,,,,,,,,,1,19000000,,0,,
197605,800477,31157,W,BEAG,1,2,19760529,F,900,0,9,-,0,0,0,,RH,292,152,3,,,0,,,,0,,1,19760531,,0,,
197605,800436,31118,W,BEAG,1,2,19760530,M,723,0,7,A,0,0,0,BIJOUX FALLS,RH,362,203,3,,,2,8,,,,,1,19000000,,0,,
197605,800376,31058,W,BEAG,1,2,19760530,F,422,0,4,B,0,0,0,BULL-QUINN R JUNC,RH,305,191,3,,,,,,,,,,19000000,,0,,
197605,800377,31059,W,BEAG,1,2,19760530,M,422,0,4,B,0,0,0,BULL-QUINN R JUNC,RH,330,178,3,,,,,,,,,,19000000,,0,,
