#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2017,SR_4875,1,1806621_573322_RT,M
Southern_Rockies_2017,SR_4875,4,1816719_567016_RT,M
Southern_Rockies_2017,SR_4875,4,1806621_573322_RT,M
Southern_Rockies_2017,SR_4875,5,1816719_567016_RT,M
Southern_Rockies_2017,SR_5060,3,1776647_644490_RT,F
Southern_Rockies_2017,SR_5060,4,1775545_645607_RT,F
Southern_Rockies_2017,SR_5060,4,1774876_646894_RT,F
Southern_Rockies_2017,SR_530,1,1777662_670512_RT,M
Southern_Rockies_2017,SR_530,3,1778499_664522_RT,M
Southern_Rockies_2017,SR_530,4,1780864_666322_RT,M
Southern_Rockies_2017,SR_530,4,1778499_664522_RT,M
Southern_Rockies_2017,SR_5338,0,1790674_607926_RT,M
Southern_Rockies_2017,SR_5338,1,1790189_602996_RT,M
Southern_Rockies_2017,SR_5338,1,1787049_610388_RT,M
Southern_Rockies_2017,SR_5338,1,1787209_610412_RT,M
Southern_Rockies_2017,SR_5338,1,1785202_623427_RT,M
Southern_Rockies_2017,SR_5338,1,1787282_622846_RT,M
Southern_Rockies_2017,SR_5338,1,1787409_622732_RT,M
Southern_Rockies_2017,SR_5338,2,1788148_603580_RT,M
Southern_Rockies_2017,SR_5338,2,1785264_609179_RT,M
Southern_Rockies_2017,SR_5338,2,1787209_610412_RT,M
Southern_Rockies_2017,SR_5338,2,1788196_610844_RT,M
Southern_Rockies_2017,SR_5338,2,1787282_622846_RT,M
Southern_Rockies_2017,SR_5338,4,1791341_614765_RT,M
Southern_Rockies_2017,SR_5338,5,1790674_607926_RT,M
Southern_Rockies_2017,SR_538,1,1784610_653306_RT,M
Southern_Rockies_2017,SR_538,1,1777387_650599_RT,M
Southern_Rockies_2017,SR_538,1,1778002_650315_RT,M
Southern_Rockies_2017,SR_538,2,1778115_664353_RT,M
Southern_Rockies_2017,SR_5441,1,1792669_590604_RT,M
Southern_Rockies_2017,SR_5441,1,1789360_595777_RT,M
Southern_Rockies_2017,SR_5441,1,1795562_583040_RT,M
Southern_Rockies_2017,SR_5441,1,1795407_584072_RT,M
Southern_Rockies_2017,SR_5441,4,1796909_576941_RT,M
Southern_Rockies_2017,SR_5499,1,1809282_521208_RT,M
Southern_Rockies_2017,SR_5499,1,1828695_511821_RT,M
Southern_Rockies_2017,SR_5499,3,1833918_514891_RT,M
Southern_Rockies_2017,SR_5528,1,1803640_621272_RT,M
Southern_Rockies_2017,SR_5528,1,1799949_623550_RT,M
Southern_Rockies_2017,SR_5528,2,1797629_630693_RT,M
Southern_Rockies_2017,SR_5528,2,1798055_632395_RT,M
Southern_Rockies_2017,SR_5528,4,1799420_634016_RT,M
Southern_Rockies_2017,SR_5540,5,1775125_664779_RT,F
Southern_Rockies_2017,SR_5545,4,1781005_637342_RT,F
Southern_Rockies_2017,SR_556,4,1768204_673628_RT,F
Southern_Rockies_2017,SR_556,4,1769333_675187_RT,F
Southern_Rockies_2017,SR_5560,1,1783846_566259_RT,F
Southern_Rockies_2017,SR_5560,1,1783891_565205_RT,F
Southern_Rockies_2017,SR_5560,1,1784392_563827_RT,F
Southern_Rockies_2017,SR_5560,2,1783910_564954_RT,F
Southern_Rockies_2017,SR_5560,2,1784305_564090_RT,F
Southern_Rockies_2017,SR_5560,3,1784039_564763_RT,F
Southern_Rockies_2017,SR_5560,3,1783846_566259_RT,F
Southern_Rockies_2017,SR_5560,3,1782953_561357_RT,F
Southern_Rockies_2017,SR_5560,3,1787241_563447_RT,F
Southern_Rockies_2017,SR_5560,3,1787374_563349_RT,F
Southern_Rockies_2017,SR_5560,3,1786071_564306_RT,F
Southern_Rockies_2017,SR_5560,4,1783672_568960_RT,F
Southern_Rockies_2017,SR_5560,4,1783846_566259_RT,F
Southern_Rockies_2017,SR_5560,4,1783828_565553_RT,F
Southern_Rockies_2017,SR_5560,4,1783891_565205_RT,F
Southern_Rockies_2017,SR_5560,4,1784392_563827_RT,F
Southern_Rockies_2017,SR_5560,4,1783663_565942_RT,F
Southern_Rockies_2017,SR_5560,4,1786071_564306_RT,F
Southern_Rockies_2017,SR_580,3,1786751_633149_RT,F
Southern_Rockies_2017,SR_5814,2,1805694_601311_RT,M
