Sample ID,HTorRT,Area,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HT_ID,pooled RTs,Site Name,Northing,Easting,Latitude,Long ,YR,MO,DY,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex
HT Blowd 1-110712-1A,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2012,7,11,1,,16,10,F319,1,LC7-00-Plots-k1,F
HT Blowd 1-110712-4C,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2012,7,11,1,,16,10,F319,2,LC7-00-Plots-k1,F
HT Bldwn 1-230613-2A,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,6,23,1,,18,9,F319,1,LC7-00-Plots-k1,F
HT Bldwn 1-100713-1,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,1,LC7-00-Plots-k1,F
HT Bldwn 1-100713-2,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,2,LC7-00-Plots-k1,F
HT Bldwn 1-100713-3,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,3,LC7-00-Plots-k1,F
HT Bldwn 1-100713-4,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,4,LC7-00-Plots-k1,F
HT Bldwn 1-100713-5,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,5,LC7-00-Plots-k1,F
HT Bldwn 1-100713-7,HT,Blowdown,SN,Jim,Jim M239,Jim,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,M239,1,NAH7-02-31-c1,M
HT Blwdn1-230713-P ,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,23,3,,11,7,F319,1,LC7-00-Plots-k1,F
HT Blowdown 1-100614-1,HT,Blowdown,SN,Bella,Bella F319,Bella,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,6,10,1,,20,20,F319,1,LC7-00-Plots-k1,F
HT Blowdown 1-100614-2,HT,Blowdown,SN,Jim,Jim M239,Jim,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,6,10,1,,20,20,M239,1,NAH7-02-31-c1,M
HT Blowdown 1-100614-3,HT,Blowdown,SN,Jim,Jim M239,Jim,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,6,10,1,,20,20,M239,2,NAH7-02-31-c1,M
HT Blowdown 1-10714-1,HT,Blowdown,SN,Jim,Jim M239,Jim,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,7,1,2,,20,20,M239,1,NAH7-02-31-c1,M
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,7,2,1,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,8,24,3,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2012,7,27,2,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2012,9,6,3,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,7,16,3,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,8,19,4,,,,,,,
,HT,Blowdown,,,,NONE,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,9,28,5,,,,,,,
HT Blowdown 2014-100614-2,HT,Blowdown,SN,Bella,Bella F319,Bella,12,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,6,10,1,,20,20,F319,1,LC7-00-Plots-k1,F
HT Blowdown 2014-100614-1,HT,Blowdown,SN,Jim,Jim M239,Jim,12,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,6,10,1,,20,20,M239,1,NAH7-02-31-c1,M
,HT,Blowdown,,,,NONE,,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,7,1,2,,,,,,,
,HT,Blowdown,,,,NONE,,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,7,16,3,,,,,,,
,HT,Blowdown,,,,NONE,,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,8,19,4,,,,,,,
,HT,Blowdown,,,,NONE,,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,9,28,5,,,,,,,
Rt Blowdown 2-260712-1,RT,Blowdown,SN,Jim,Jim M239,Jim,1007,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4065665,-122.2294311,2012,7,26,2,,11,10,M239,1,NAH7-02-31-c1,M
RT Bldwn2-060613-1,RT,Blowdown,SN,Mike,Mike M107,Mike,1006,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2013,6,6,1,,18,9,M107,1,61024-e2,M
RT Bldwn2-060613-2,RT,Blowdown,SN,Mike,Mike M107,Mike,1006,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2013,6,6,1,,18,9,M107,2,61024-e2,M
RT Blowdown2-270514-2,RT,Blowdown,SN,Jim,Jim M239,Jim,1006,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2014,5,27,1,,20,20,M239,1,NAH7-02-31-c1,M
,RT,Blowdown,,,,NONE,,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4065665,-122.2294311,2012,7,11,1,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4065665,-122.2294311,2012,9,6,3,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2013,6,23,2,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2013,7,10,3,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2014,6,10,2,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2014,7,1,3,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2014,7,16,4,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 2,RT Blowdown 2,5584120,554757,50.4066,-122.2294,2014,8,19,5,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 3,RT Blowdown 3,5579358,559320,50.3633011,-122.1659766,2013,6,23,1,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 3,RT Blowdown 3,5579358,559320,50.3633011,-122.1659766,2013,7,10,2,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 3,RT Blowdown 3,5579358,559320,50.3633011,-122.1659766,2013,8,23,3,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 3,RT Blowdown 3,5579358,559320,50.3633011,-122.1659766,2014,7,1,1,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 3,RT Blowdown 3,5579358,559320,50.3633011,-122.1659766,2014,7,16,2,,,,,,,
