ID,Trap ID per site,Sampling Project,Use in Popn Analysis,Sessions,Site,Easting,Northing,Sess 1,Sess 2,Sess 3,Sess 4,Sess 5
180,Reg-2006-8,Region-2006,yes,4,8,485402.95,5630008.79,,,,,
181,Reg-2006-9,Region-2006,yes,4,9,492890.68,5624981.38,F115,,F124,F124,
182,Reg-2006-10,Region-2006,yes,4,10,507379.01,5623380.48,,M116,,,
183,Reg-2006-11,Region-2006,yes,4,11,517047.26,5627959.64,,,,,
184,Reg-2006-12,Region-2006,yes,4,12,521452.65,5622056.05,,,,,
185,Reg-2006-13,Region-2006,yes,4,13,530987.58,5621981.25,,"F117,F131,M104",,,
186,Reg-2006-14,Region-2006,yes,4,14,541969.28,5622651.1,"F132,M100,M125","F118,F132",M125,"F126,F132",
187,Reg-2006-15,Region-2006,yes,4,15,457085,5617734,"M111,M87",M119,"M111,M119",,
188,Reg-2006-16,Region-2006,yes,4,16,463115.46,5615395.58,M101,,,M111,
189,Reg-2006-17,Region-2006,yes,4,17,480877,5617241,M116,,,M101,
190,Reg-2006-18,Region-2006,yes,4,18,488097.6,5613682.74,,F103,F103,"F103,M101",
191,Reg-2006-19,Region-2006,yes,4,19,493421.14,5613414.89,"F102,F103",F103,"F102,F137,M133","M101,M133",
192,Reg-2006-20,Region-2006,yes,4,20,502028.9,5616078.63,,M116,M133,,
193,Reg-2006-21,Region-2006,yes,4,21,515571.8,5614616.68,"M104,M105",M105,M105,"F134,M105",
194,Reg-2006-22,Region-2006,yes,4,22,523195.92,5616054.6,,"M120,M121",,M105,
195,Reg-2006-23,Region-2006,yes,4,23,531515.99,5609793.02,"F106,F113",F106,"M120,M121",M105,
196,Reg-2006-24,Region-2006,yes,4,24,543170.06,5617056.15,"F108,M107,M109","F108,M122","F108,F126,F127","F108,F126",
197,Reg-2006-25,Region-2006,yes,4,25,459719.99,5601429.15,"M110,M111",,M128,F136,
198,Reg-2006-26,Region-2006,yes,4,26,465413.02,5603664.85,,,,,
199,Reg-2006-27,Region-2006,yes,4,27,473984.03,5604886.38,,,M129,,
200,Reg-2006-28,Region-2006,yes,4,28,483215.4,5608249.38,,F92,,F137,
201,Reg-2006-29,Region-2006,yes,4,29,496765.82,5608097.63,,F138,,F138,
202,Reg-2006-30,Region-2006,yes,4,30,509605.22,5601739.8,"F139,M105,M112,M123",F139,M123,,
